csv_row_index,reference_id,formatted_address,utility_name,utility_eiaid,upfront_incentive,install_incentive,ongoing_incentive,is_eligible,connect_url,status,error_message
25,portfolio-17561-residential-battery,,South Plains Electric Coop Inc,17561,0.00,0.00,0.00,false,,COMPLETED,
26,portfolio-13418-residential-battery,,City of New Braunfels - (TX),13418,0.00,0.00,0.00,false,,COMPLETED,
27,portfolio-2409-residential-battery,,Brownsville Public Utilities Board,2409,0.00,0.00,0.00,false,,COMPLETED,
28,portfolio-13830-residential-battery,,Nueces Electric Cooperative,13830,0.00,0.00,0.00,false,,COMPLETED,
29,portfolio-19579-residential-battery,,Upshur Rural Elec Coop Corp,19579,0.00,0.00,0.00,false,,COMPLETED,
30,portfolio-3940-residential-battery,,City of College Station - (TX),3940,0.00,0.00,0.00,false,,COMPLETED,
31,portfolio-4975-residential-battery,,Deep East Texas Elec Coop Inc,4975,0.00,0.00,0.00,false,,COMPLETED,
32,portfolio-3282-residential-battery,,"Central Texas Elec Coop, Inc",3282,0.00,0.00,0.00,false,,COMPLETED,
33,portfolio-12452-residential-battery,,Mid-South Electric Coop Assn,12452,0.00,0.00,0.00,false,,COMPLETED,
34,portfolio-1175-residential-battery,,"Bandera Electric Coop, Inc",1175,0.00,0.00,0.00,false,,COMPLETED,
35,portfolio-20927-residential-battery,,"Wood County Electric Coop, Inc",20927,0.00,0.00,0.00,false,,COMPLETED,
36,portfolio-2049-residential-battery,,"Bowie-Cass Electric Coop, Inc",2049,0.00,0.00,0.00,false,,COMPLETED,
37,portfolio-16638-residential-battery,,"San Bernard Electric Coop, Inc",16638,0.00,0.00,0.00,false,,COMPLETED,
38,portfolio-12268-residential-battery,,"Medina Electric Coop, Inc",12268,0.00,0.00,0.00,false,,COMPLETED,
39,portfolio-7129-residential-battery,,City of Georgetown - (TX),7129,0.00,0.00,0.00,false,,COMPLETED,
40,portfolio-8620-residential-battery,,"HILCO Electric Cooperative, Inc.",8620,0.00,0.00,0.00,false,,COMPLETED,
41,portfolio-3470-residential-battery,,Cherokee County Elec Coop Assn - (TX),3470,0.00,0.00,0.00,false,,COMPLETED,
42,portfolio-28978-residential-battery,,City of San Marcos - (TX),28978,0.00,0.00,0.00,false,,COMPLETED,
43,portfolio-8898-residential-battery,,Houston County Elec Coop Inc,8898,0.00,0.00,0.00,false,,COMPLETED,
44,portfolio-9668-residential-battery,,"Jasper-Newton Elec Coop, Inc",9668,0.00,0.00,0.00,false,,COMPLETED,
45,portfolio-19806-residential-battery,,"Victoria Electric Coop, Inc",19806,0.00,0.00,0.00,false,,COMPLETED,
46,portfolio-28604-residential-battery,,Kerrville Public Utility Board,28604,0.00,0.00,0.00,false,,COMPLETED,
47,portfolio-20948-residential-battery,,Wise Electric Coop Inc,20948,0.00,0.00,0.00,false,,COMPLETED,
48,portfolio-7979-residential-battery,,Hamilton County Elec Coop Assn,7979,0.00,0.00,0.00,false,,COMPLETED,
49,portfolio-16146-residential-battery,,"Navasota Valley Elec Coop, Inc",16146,0.00,0.00,0.00,false,,COMPLETED,
50,portfolio-55982-residential-battery,,Heart of Texas Electric Coop,55982,0.00,0.00,0.00,false,,COMPLETED,
51,portfolio-13332-residential-battery,,"Navarro County Elec Coop, Inc",13332,0.00,0.00,0.00,false,,COMPLETED,
52,portfolio-16461-residential-battery,,"Rusk County Electric Coop, Inc",16461,0.00,0.00,0.00,false,,COMPLETED,
53,portfolio-27369-residential-battery,,Taylor Electric Coop Inc - (TX),27369,0.00,0.00,0.00,false,,COMPLETED,
54,portfolio-6427-residential-battery,,City of Floresville,6427,0.00,0.00,0.00,false,,COMPLETED,
55,portfolio-4262-residential-battery,,Cooke County Elec Coop Assn,4262,0.00,0.00,0.00,false,,COMPLETED,
56,portfolio-9590-residential-battery,,"Jackson Electric Coop, Inc - (TX)",9590,0.00,0.00,0.00,false,,COMPLETED,
57,portfolio-7634-residential-battery,,City of Greenville - (TX),7634,0.00,0.00,0.00,false,,COMPLETED,
58,portfolio-6183-residential-battery,,"Fayette Electric Coop, Inc",6183,0.00,0.00,0.00,false,,COMPLETED,
59,portfolio-20230-residential-battery,,Weatherford Mun Utility System,20230,0.00,0.00,0.00,false,,COMPLETED,
60,portfolio-10009-residential-battery,,Karnes Electric Coop Inc,10009,0.00,0.00,0.00,false,,COMPLETED,
61,portfolio-10649-residential-battery,,Lamar County Elec Coop Assn,10649,0.00,0.00,0.00,false,,COMPLETED,
62,portfolio-1273-residential-battery,,"Bartlett Electric Coop, Inc",1273,0.00,0.00,0.00,false,,COMPLETED,
63,portfolio-4146-residential-battery,,Concho Valley Elec Coop Inc,4146,0.00,0.00,0.00,false,,COMPLETED,
64,portfolio-16627-residential-battery,,San Patricio Electric Coop Inc,16627,0.00,0.00,0.00,false,,COMPLETED,
65,portfolio-1591-residential-battery,,"Big Country Electric Coop, Inc",1591,0.00,0.00,0.00,false,,COMPLETED,
66,portfolio-11364-residential-battery,,"Lyntegar Electric Coop, Inc",11364,0.00,0.00,0.00,false,,COMPLETED,
67,portfolio-14424-residential-battery,,"Panola-Harrison Elec Coop, Inc",14424,0.00,0.00,0.00,false,,COMPLETED,
68,portfolio-16057-residential-battery,,"Rio Grande Electric Coop, Inc",16057,0.00,0.00,0.00,false,,COMPLETED,
69,portfolio-16900-residential-battery,,City of Seguin - (TX),16900,0.00,0.00,0.00,false,,COMPLETED,
70,portfolio-4295-residential-battery,,Comanche County Elec Coop Assn,4295,0.00,0.00,0.00,false,,COMPLETED,
71,portfolio-2194-residential-battery,,City of Brenham - (TX),2194,0.00,0.00,0.00,false,,COMPLETED,
72,portfolio-17693-residential-battery,,"Southwest Texas Elec Coop, Inc",17693,0.00,0.00,0.00,false,,COMPLETED,
73,portfolio-20472-residential-battery,,"Wharton County Elec Coop, Inc",20472,0.00,0.00,0.00,false,,COMPLETED,
74,portfolio-11292-residential-battery,,City of Lubbock - (TX),11292,0.00,0.00,0.00,false,,COMPLETED,
75,portfolio-4939-residential-battery,,"Deaf Smith Electric Coop, Inc",4939,0.00,0.00,0.00,false,,COMPLETED,
76,portfolio-7561-residential-battery,,"Greenbelt Electric Coop, Inc",7561,0.00,0.00,0.00,false,,COMPLETED,
77,portfolio-11014-residential-battery,,"Lighthouse Electric Coop, Inc",11014,0.00,0.00,0.00,false,,COMPLETED,
78,portfolio-1169-residential-battery,,Bailey County Elec Coop Assn,1169,0.00,0.00,0.00,false,,COMPLETED,
79,portfolio-13757-residential-battery,,North Plains Electric Coop Inc,13757,0.00,0.00,0.00,false,,COMPLETED,
80,portfolio-10625-residential-battery,,"Lamb County Electric Coop, Inc",10625,0.00,0.00,0.00,false,,COMPLETED,
81,portfolio-10817-residential-battery,,"Lea County Electric Coop, Inc - (NM)",10817,0.00,0.00,0.00,false,,COMPLETED,
82,portfolio-16063-residential-battery,,"Rita Blanca Electric Coop, Inc",16063,0.00,0.00,0.00,false,,COMPLETED,
83,portfolio-17671-residential-battery,,Southwest Arkansas E C C,17671,0.00,0.00,0.00,false,,COMPLETED,
84,portfolio-17715-residential-battery,,Southwestern Electric Coop Inc - (NM),17715,0.00,0.00,0.00,false,,COMPLETED,
85,portfolio-19160-residential-battery,,"Tri-County Electric Coop, Inc (OK)",19160,0.00,0.00,0.00,false,,COMPLETED,
