csv_row_index,reference_id,formatted_address,utility_name,utility_eiaid,upfront_incentive,install_incentive,ongoing_incentive,is_eligible,connect_url,status,error_message
59,portfolio:20230:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
60,portfolio:10009:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
61,portfolio:10649:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
62,portfolio:1273:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
63,portfolio:4146:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
64,portfolio:16627:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
65,portfolio:1591:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
66,portfolio:11364:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
67,portfolio:14424:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
68,portfolio:16057:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
69,portfolio:16900:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
70,portfolio:4295:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
71,portfolio:2194:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
72,portfolio:17693:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
73,portfolio:20472:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
74,portfolio:11292:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
75,portfolio:4939:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
76,portfolio:7561:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
77,portfolio:11014:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
78,portfolio:1169:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
79,portfolio:13757:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
80,portfolio:10625:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
81,portfolio:10817:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
82,portfolio:16063:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
83,portfolio:17671:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
84,portfolio:17715:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
85,portfolio:19160:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
